"unit","age","ord_brth","geo","time","values","perc","countryname","region"
"NR",40,"1","ES",2018,4846,2.7,"Spain","Southern Europe"
"NR",40,"1","HU",2018,491,1.2,"Hungary","Eastern Europe"
"NR",40,"1","NL",2018,670,0.9,"Netherlands","Western Europe"
"NR",40,"1","PL",2018,825,0.5,"Poland","Eastern Europe"
"NR",40,"1","PT",2018,727,1.6,"Portugal","Southern Europe"
"NR",40,"1","RO",2018,782,0.7,"Roumania","Eastern Europe"
"NR",41,"1","AT",2018,229,0.6,"Austria","Western Europe"
"NR",41,"1","BE",2018,288,0.6,"Belgium","Western Europe"
"NR",41,"1","BG",2018,177,0.6,"Bulgaria","Eastern Europe"
"NR",41,"1","CZ",2018,249,0.5,"Czechia","Eastern Europe"
"NR",41,"1","EE",2018,47,0.9,"Estonia","Eastern Europe"
"NR",41,"1","EL",2018,505,1.3,"Greece","Southern Europe"
"NR",41,"1","ES",2018,3356,1.8,"Spain","Southern Europe"
"NR",41,"1","HU",2018,345,0.8,"Hungary","Eastern Europe"
"NR",41,"1","NL",2018,395,0.5,"Netherlands","Western Europe"
"NR",41,"1","PL",2018,559,0.3,"Poland","Eastern Europe"
"NR",41,"1","PT",2018,513,1.2,"Portugal","Southern Europe"
"NR",41,"1","RO",2018,489,0.5,"Roumania","Eastern Europe"
"NR",42,"1","AT",2018,168,0.4,"Austria","Western Europe"
"NR",42,"1","BE",2018,178,0.4,"Belgium","Western Europe"
"NR",42,"1","BG",2018,118,0.4,"Bulgaria","Eastern Europe"
"NR",42,"1","CZ",2018,156,0.3,"Czechia","Eastern Europe"
"NR",42,"1","EE",2018,14,0.3,"Estonia","Eastern Europe"
"NR",42,"1","EL",2018,374,0.9,"Greece","Southern Europe"
"NR",42,"1","ES",2018,2326,1.3,"Spain","Southern Europe"
"NR",42,"1","HU",2018,247,0.6,"Hungary","Eastern Europe"
"NR",42,"1","NL",2018,269,0.4,"Netherlands","Western Europe"
"NR",42,"1","PL",2018,305,0.2,"Poland","Eastern Europe"
"NR",42,"1","PT",2018,326,0.7,"Portugal","Southern Europe"
"NR",42,"1","RO",2018,309,0.3,"Roumania","Eastern Europe"
"NR",43,"1","AT",2018,98,0.2,"Austria","Western Europe"
"NR",43,"1","BE",2018,122,0.2,"Belgium","Western Europe"
"NR",43,"1","BG",2018,86,0.3,"Bulgaria","Eastern Europe"
"NR",43,"1","CZ",2018,88,0.2,"Czechia","Eastern Europe"
"NR",43,"1","EE",2018,8,0.2,"Estonia","Eastern Europe"
"NR",43,"1","EL",2018,239,0.6,"Greece","Southern Europe"
"NR",43,"1","ES",2018,1551,0.9,"Spain","Southern Europe"
"NR",43,"1","HU",2018,116,0.3,"Hungary","Eastern Europe"
"NR",43,"1","NL",2018,177,0.2,"Netherlands","Western Europe"
"NR",43,"1","PL",2018,187,0.1,"Poland","Eastern Europe"
"NR",43,"1","PT",2018,190,0.4,"Portugal","Southern Europe"
"NR",43,"1","RO",2018,186,0.2,"Roumania","Eastern Europe"
"NR",44,"1","AT",2018,50,0.1,"Austria","Western Europe"
"NR",44,"1","BE",2018,64,0.1,"Belgium","Western Europe"
"NR",44,"1","BG",2018,47,0.2,"Bulgaria","Eastern Europe"
"NR",44,"1","CZ",2018,54,0.1,"Czechia","Eastern Europe"
"NR",44,"1","EE",2018,5,0.1,"Estonia","Eastern Europe"
"NR",44,"1","EL",2018,168,0.4,"Greece","Southern Europe"
"NR",44,"1","ES",2018,947,0.5,"Spain","Southern Europe"
"NR",44,"1","HU",2018,65,0.2,"Hungary","Eastern Europe"
"NR",44,"1","NL",2018,80,0.1,"Netherlands","Western Europe"
"NR",44,"1","PL",2018,74,0,"Poland","Eastern Europe"
"NR",44,"1","PT",2018,122,0.3,"Portugal","Southern Europe"
"NR",44,"1","RO",2018,116,0.1,"Roumania","Eastern Europe"
"NR",45,"1","AT",2018,35,0.1,"Austria","Western Europe"
"NR",45,"1","BE",2018,43,0.1,"Belgium","Western Europe"
